"Years","Accumulation","District","Value"
"2018","FMA","Guija",350.37
"2019","FMA","Guija",319.71
"2020","FMA","Guija",200.75
"2021","FMA","Guija",339.68
"1981","OND","Guija",291.63
"1982","OND","Guija",136.68
"1983","OND","Guija",175.16
"1984","OND","Guija",210.47
"1985","OND","Guija",212.74
"1986","OND","Guija",141.88
"1987","OND","Guija",204.92
"1988","OND","Guija",110.51
"1989","OND","Guija",269.35
"1990","OND","Guija",200.86
"1991","OND","Guija",94.44
"1992","OND","Guija",318.56
"1993","OND","Guija",237.99
"1994","OND","Guija",228.64
"1995","OND","Guija",201.15
"1996","OND","Guija",73.68
"1997","OND","Guija",178.07
"1998","OND","Guija",352.57
"1999","OND","Guija",218.45
"2000","OND","Guija",221.93
"2001","OND","Guija",369.9
"2002","OND","Guija",205.62
"2003","OND","Guija",176.57
"2004","OND","Guija",169.37
"2005","OND","Guija",191.03
"2006","OND","Guija",212.44
"2007","OND","Guija",276.89
"2008","OND","Guija",242.71
"2009","OND","Guija",128.36
"2010","OND","Guija",247.79
"2011","OND","Guija",186.17
"2012","OND","Guija",212.58
"2013","OND","Guija",231.51
"2014","OND","Guija",195.08
"2015","OND","Guija",110.44
"2016","OND","Guija",277.65
"2017","OND","Guija",115.17
"2018","OND","Guija",165.09
"2019","OND","Guija",126.44
"2020","OND","Guija",219.11
"1982","NDJ","Guija",282.89
"1983","NDJ","Guija",186.18
"1984","NDJ","Guija",353.8
"1985","NDJ","Guija",328.79
"1986","NDJ","Guija",311.39
"1987","NDJ","Guija",192.83
"1988","NDJ","Guija",211.29
"1989","NDJ","Guija",74.43
"1990","NDJ","Guija",393.87
"1991","NDJ","Guija",272.47
"1992","NDJ","Guija",170.88
"1993","NDJ","Guija",332.38
"1994","NDJ","Guija",372.62
"1995","NDJ","Guija",203.93
"1996","NDJ","Guija",396.24
"1997","NDJ","Guija",252.8
"1998","NDJ","Guija",356.1
"1999","NDJ","Guija",439.29
"2000","NDJ","Guija",468.64
"2001","NDJ","Guija",258.59
"2002","NDJ","Guija",362.76
"2003","NDJ","Guija",188.37
"2004","NDJ","Guija",216.46
"2005","NDJ","Guija",198
"2006","NDJ","Guija",338.48
"2007","NDJ","Guija",234.11
"2008","NDJ","Guija",326.64
"2009","NDJ","Guija",335.28
"2010","NDJ","Guija",209.63
"2011","NDJ","Guija",515.45
"2012","NDJ","Guija",202.77
"2013","NDJ","Guija",564.28
"2014","NDJ","Guija",311.2
"2015","NDJ","Guija",224.01
"2016","NDJ","Guija",153.4
"2017","NDJ","Guija",473.83
"2018","NDJ","Guija",94.91
"2019","NDJ","Guija",221.41
"2020","NDJ","Guija",227.12
"2021","NDJ","Guija",406.34
"1982","DJF","Guija",246.51
"1983","DJF","Guija",214.6
"1984","DJF","Guija",335.83
"1985","DJF","Guija",373.47
"1986","DJF","Guija",259.39
"1987","DJF","Guija",185.42
"1988","DJF","Guija",267.23
"1989","DJF","Guija",171.47
"1990","DJF","Guija",377.64
"1991","DJF","Guija",342.71
"1992","DJF","Guija",151.23
"1993","DJF","Guija",406.39
"1994","DJF","Guija",292.48
"1995","DJF","Guija",259.92
"1996","DJF","Guija",471.76
"1997","DJF","Guija",323.17
"1998","DJF","Guija",328.75
"1999","DJF","Guija",607.12
"2000","DJF","Guija",651.5
"2001","DJF","Guija",301.91
"2002","DJF","Guija",266.52
"2003","DJF","Guija",247.86
"2004","DJF","Guija",300.03
"2005","DJF","Guija",172.67
"2006","DJF","Guija",325.09
"2007","DJF","Guija",238.02
"2008","DJF","Guija",276.45
"2009","DJF","Guija",323.18
"2010","DJF","Guija",187.26
"2011","DJF","Guija",473.2
"2012","DJF","Guija",194.08
"2013","DJF","Guija",522.18
"2014","DJF","Guija",291.98
"2015","DJF","Guija",286.92
"2016","DJF","Guija",129.05
"2017","DJF","Guija",568.9
"2018","DJF","Guija",297.63
"2019","DJF","Guija",412.26
"2020","DJF","Guija",288.58
"2021","DJF","Guija",628.51
"1981","JFM","Changara",375.45
"1982","JFM","Changara",436.84
"1983","JFM","Changara",222.95
"1984","JFM","Changara",389.98
"1985","JFM","Changara",526.15
"1986","JFM","Changara",454.54
"1987","JFM","Changara",261.93
"1988","JFM","Changara",508.74
"1989","JFM","Changara",579.3
"1990","JFM","Changara",421.29
"1991","JFM","Changara",398.96
"1992","JFM","Changara",159.94
"1993","JFM","Changara",432.44
"1994","JFM","Changara",229.64
"1995","JFM","Changara",280.88
"1996","JFM","Changara",453.65
"1997","JFM","Changara",835.37
"1998","JFM","Changara",404.11
"1999","JFM","Changara",633.33
"2000","JFM","Changara",613.88
"2001","JFM","Changara",733.67
"2002","JFM","Changara",254.02
"2003","JFM","Changara",498.76
"2004","JFM","Changara",450.39
"2005","JFM","Changara",248.51
"2006","JFM","Changara",429.27
"2007","JFM","Changara",500.27
"2008","JFM","Changara",334.41
"2009","JFM","Changara",429.74
"2010","JFM","Changara",462.1
"2011","JFM","Changara",405.29
"2012","JFM","Changara",430.48
"2013","JFM","Changara",359.27
"2014","JFM","Changara",488.8
"2015","JFM","Changara",431.81
"2016","JFM","Changara",242.57
"2017","JFM","Changara",640.37
"2018","JFM","Changara",468.65
"2019","JFM","Changara",521.79
"2020","JFM","Changara",413.78
"2021","JFM","Changara",488.33
"1981","FMA","Changara",270.37
"1982","FMA","Changara",288.63
"1983","FMA","Changara",172.08
"1984","FMA","Changara",315.18
"1985","FMA","Changara",322.21
"1986","FMA","Changara",224.6
"1987","FMA","Changara",68.69
"1988","FMA","Changara",315.44
"1989","FMA","Changara",347.01
"1990","FMA","Changara",135.59
"1991","FMA","Changara",283.9
"1992","FMA","Changara",79.58
"1993","FMA","Changara",248.69
"1994","FMA","Changara",78.46
"1995","FMA","Changara",76.21
"1996","FMA","Changara",264.13
"1997","FMA","Changara",551.55
"1998","FMA","Changara",143.58
"1999","FMA","Changara",298.97
"2000","FMA","Changara",364.87
"2001","FMA","Changara",573.14
"2002","FMA","Changara",115.83
"2003","FMA","Changara",296.13
"2004","FMA","Changara",254.38
"2005","FMA","Changara",54.12
"2006","FMA","Changara",234.56
"2007","FMA","Changara",252.75
"2008","FMA","Changara",65.16
"2009","FMA","Changara",157.34
"2010","FMA","Changara",364.95
"2011","FMA","Changara",83.68
"2012","FMA","Changara",211.02
"2013","FMA","Changara",115.95
"2014","FMA","Changara",238.81
"2015","FMA","Changara",165.35
"2016","FMA","Changara",143.04
"2017","FMA","Changara",320.61
"2018","FMA","Changara",444.13
"2019","FMA","Changara",234
"2020","FMA","Changara",193.47
"2021","FMA","Changara",201.73
"1981","OND","Changara",170.38
"1982","OND","Changara",167.59
"1983","OND","Changara",194.99
"1984","OND","Changara",250.83
"1985","OND","Changara",354.98
"1986","OND","Changara",221.5
"1987","OND","Changara",182.16
"1988","OND","Changara",142.92
"1989","OND","Changara",296.26
"1990","OND","Changara",160.12
"1991","OND","Changara",134.33
"1992","OND","Changara",192.28
"1993","OND","Changara",174
"1994","OND","Changara",187.19
"1995","OND","Changara",302.16
"1996","OND","Changara",233.21
"1997","OND","Changara",270.21
"1998","OND","Changara",331
"1999","OND","Changara",101.21
"2000","OND","Changara",251.05
"2001","OND","Changara",286.53
"2002","OND","Changara",149.38
"2003","OND","Changara",141.17
"2004","OND","Changara",345.35
"2005","OND","Changara",306.64
"2006","OND","Changara",216.37
"2007","OND","Changara",355.77
"2008","OND","Changara",148.19
"2009","OND","Changara",237.39
"2010","OND","Changara",217.05
"2011","OND","Changara",197.51
"2012","OND","Changara",194.65
"2013","OND","Changara",161.13
"2014","OND","Changara",272.77
"2015","OND","Changara",138.59
"2016","OND","Changara",241.12
"2017","OND","Changara",184.06
"2018","OND","Changara",224.88
"2019","OND","Changara",137.8
"2020","OND","Changara",252.83
"1982","NDJ","Changara",317.92
"1983","NDJ","Changara",205.41
"1984","NDJ","Changara",267.54
"1985","NDJ","Changara",459.87
"1986","NDJ","Changara",599.87
"1987","NDJ","Changara",397.44
"1988","NDJ","Changara",378.65
"1989","NDJ","Changara",353.86
"1990","NDJ","Changara",583.16
"1991","NDJ","Changara",288
"1992","NDJ","Changara",217.27
"1993","NDJ","Changara",392.11
"1994","NDJ","Changara",326
"1995","NDJ","Changara",376.42
"1996","NDJ","Changara",487.15
"1997","NDJ","Changara",533.41
"1998","NDJ","Changara",521.22
"1999","NDJ","Changara",674.21
"2000","NDJ","Changara",355.95
"2001","NDJ","Changara",405.67
"2002","NDJ","Changara",431.8
"2003","NDJ","Changara",350.38
"2004","NDJ","Changara",342.62
"2005","NDJ","Changara",535.31
"2006","NDJ","Changara",503.44
"2007","NDJ","Changara",474.5
"2008","NDJ","Changara",625.15
"2009","NDJ","Changara",426.54
"2010","NDJ","Changara",345.13
"2011","NDJ","Changara",551.88
"2012","NDJ","Changara",426.89
"2013","NDJ","Changara",441.65
"2014","NDJ","Changara",411.06
"2015","NDJ","Changara",546.91
"2016","NDJ","Changara",246.09
"2017","NDJ","Changara",572.19
"2018","NDJ","Changara",218.98
"2019","NDJ","Changara",523.7
"2020","NDJ","Changara",362.48
"2021","NDJ","Changara",538.23
"1982","DJF","Changara",526.07
"1983","DJF","Changara",289.05
"1984","DJF","Changara",445.87
"1985","DJF","Changara",601.98
"1986","DJF","Changara",696.66
"1987","DJF","Changara",380.86
"1988","DJF","Changara",525.64
"1989","DJF","Changara",590.17
"1990","DJF","Changara",621.1
"1991","DJF","Changara",454.36
"1992","DJF","Changara",168.66
"1993","DJF","Changara",546.77
"1994","DJF","Changara",293.15
"1995","DJF","Changara",423.12
"1996","DJF","Changara",672.02
"1997","DJF","Changara",945.12
"1998","DJF","Changara",545.2
"1999","DJF","Changara",856.18
"2000","DJF","Changara",564.83
"2001","DJF","Changara",686.07
"2002","DJF","Changara",439.64
"2003","DJF","Changara",454.63
"2004","DJF","Changara",494.22
"2005","DJF","Changara",498.92
"2006","DJF","Changara",578.65
"2007","DJF","Changara",593.95
"2008","DJF","Changara",579.25
"2009","DJF","Changara",483.53
"2010","DJF","Changara",638.45
"2011","DJF","Changara",520.05
"2012","DJF","Changara",497.41
"2013","DJF","Changara",506.9
"2014","DJF","Changara",582.08
"2015","DJF","Changara",657.97
"2016","DJF","Changara",277.1
"2017","DJF","Changara",722.8
"2018","DJF","Changara",523.97
"2019","DJF","Changara",609.84
"2020","DJF","Changara",474.34
"2021","DJF","Changara",632.63
"1981","JFM","Marara",348.75
"1982","JFM","Marara",442.12
"1983","JFM","Marara",243.51
"1984","JFM","Marara",397.25
"1985","JFM","Marara",435.64
"1986","JFM","Marara",451.44
"1987","JFM","Marara",280.69
"1988","JFM","Marara",505.1
"1989","JFM","Marara",643.48
"1990","JFM","Marara",399.77
"1991","JFM","Marara",444.32
"1992","JFM","Marara",169.25
"1993","JFM","Marara",377.47
"1994","JFM","Marara",220.79
"1995","JFM","Marara",324.32
"1996","JFM","Marara",464.38
"1997","JFM","Marara",855.92
"1998","JFM","Marara",412.86
"1999","JFM","Marara",603.47
"2000","JFM","Marara",587.77
"2001","JFM","Marara",761.06
"2002","JFM","Marara",269.22
"2003","JFM","Marara",506.94
"2004","JFM","Marara",436.07
"2005","JFM","Marara",250.09
"2006","JFM","Marara",465.73
"2007","JFM","Marara",459.78
"2008","JFM","Marara",308.82
"2009","JFM","Marara",418.97
"2010","JFM","Marara",508.21
"2011","JFM","Marara",363.12
"2012","JFM","Marara",451.45
"2013","JFM","Marara",345.95
"2014","JFM","Marara",456.2
"2015","JFM","Marara",497.14
"2016","JFM","Marara",248.65
"2017","JFM","Marara",681.29
"2018","JFM","Marara",403.16
"2019","JFM","Marara",526.61
"2020","JFM","Marara",389.85
"2021","JFM","Marara",485.56
"1981","FMA","Marara",259.08
"1982","FMA","Marara",281.93
"1983","FMA","Marara",183.8
"1984","FMA","Marara",323.2
"1985","FMA","Marara",273.99
"1986","FMA","Marara",215.98
"1987","FMA","Marara",61.97
"1988","FMA","Marara",338.78
"1989","FMA","Marara",417.77
"1990","FMA","Marara",104.15
"1991","FMA","Marara",308.25
"1992","FMA","Marara",78.15
"1993","FMA","Marara",177.14
"1994","FMA","Marara",77.26
"1995","FMA","Marara",79.64
"1996","FMA","Marara",297.07
"1997","FMA","Marara",580.12
"1998","FMA","Marara",144.23
"1999","FMA","Marara",295.74
"2000","FMA","Marara",366.31
"2001","FMA","Marara",604.08
"2002","FMA","Marara",122.7
"2003","FMA","Marara",304.12
"2004","FMA","Marara",224.03
"2005","FMA","Marara",43.4
"2006","FMA","Marara",248.92
"2007","FMA","Marara",233.8
"2008","FMA","Marara",55.34
"2009","FMA","Marara",171.86
"2010","FMA","Marara",408.83
"2011","FMA","Marara",77.62
"2012","FMA","Marara",215.72
"2013","FMA","Marara",101.85
"2014","FMA","Marara",238.39
"2015","FMA","Marara",173.58
"2016","FMA","Marara",146.05
"2017","FMA","Marara",364.43
"2018","FMA","Marara",361.45
"2019","FMA","Marara",252.04
"2020","FMA","Marara",179.14
"2021","FMA","Marara",199.65
"1981","OND","Marara",152.28
"1982","OND","Marara",152.27
"1983","OND","Marara",160.9
"1984","OND","Marara",217.1
"1985","OND","Marara",362.58
"1986","OND","Marara",212.52
"1987","OND","Marara",164
"1988","OND","Marara",129.7
"1989","OND","Marara",230.32
"1990","OND","Marara",147.48
"1991","OND","Marara",134.16
"1992","OND","Marara",214.15
"1993","OND","Marara",185.7
"1994","OND","Marara",161.59
"1995","OND","Marara",304.68
"1996","OND","Marara",245.93
"1997","OND","Marara",261.38
"1998","OND","Marara",259.5
"1999","OND","Marara",98.59
"2000","OND","Marara",251.77
"2001","OND","Marara",232.42
"2002","OND","Marara",151.97
"2003","OND","Marara",138.03
"2004","OND","Marara",329.07
"2005","OND","Marara",269.4
"2006","OND","Marara",211.49
"2007","OND","Marara",300.67
"2008","OND","Marara",129.89
"2009","OND","Marara",276.4
"2010","OND","Marara",220.23
"2011","OND","Marara",198.8
"2012","OND","Marara",173.58
"2013","OND","Marara",161.88
"2014","OND","Marara",246.64
"2015","OND","Marara",142.35
"2016","OND","Marara",232.01
"2017","OND","Marara",185.9
"2018","OND","Marara",245.26
"2019","OND","Marara",151.15
"2020","OND","Marara",246.11
"1982","NDJ","Marara",312
"1983","NDJ","Marara",201.47
"1984","NDJ","Marara",231.85
"1985","NDJ","Marara",383.41
"1986","NDJ","Marara",608.81
"1987","NDJ","Marara",412.91
"1988","NDJ","Marara",328.57
"1989","NDJ","Marara",334.78
"1990","NDJ","Marara",523.71
"1991","NDJ","Marara",297.58
"1992","NDJ","Marara",222.83
"1993","NDJ","Marara",427.61
"1994","NDJ","Marara",327.59
"1995","NDJ","Marara",389.77
"1996","NDJ","Marara",462.47
"1997","NDJ","Marara",539.89
"1998","NDJ","Marara",517.75
"1999","NDJ","Marara",576.43
"2000","NDJ","Marara",324.73
"2001","NDJ","Marara",400.38
"2002","NDJ","Marara",378.4
"2003","NDJ","Marara",352.2
"2004","NDJ","Marara",354.61
"2005","NDJ","Marara",528.48
"2006","NDJ","Marara",488.28
"2007","NDJ","Marara",455.27
"2008","NDJ","Marara",552.35
"2009","NDJ","Marara",382.98
"2010","NDJ","Marara",384.15
"2011","NDJ","Marara",522.85
"2012","NDJ","Marara",446.24
"2013","NDJ","Marara",426.32
"2014","NDJ","Marara",380.03
"2015","NDJ","Marara",577.34
"2016","NDJ","Marara",250.3
"2017","NDJ","Marara",553.77
"2018","NDJ","Marara",237.13
"2019","NDJ","Marara",527.68
"2020","NDJ","Marara",362.42
"2021","NDJ","Marara",530.15
"1982","DJF","Marara",533.39
"1983","DJF","Marara",295.06
"1984","DJF","Marara",427.25
"1985","DJF","Marara",487.45
"1986","DJF","Marara",661.58
"1987","DJF","Marara",390.88
"1988","DJF","Marara",502.28
"1989","DJF","Marara",590.43
"1990","DJF","Marara",547.68
"1991","DJF","Marara",490.57
"1992","DJF","Marara",170.28
"1993","DJF","Marara",496.64
"1994","DJF","Marara",289.11
"1995","DJF","Marara",436.99
"1996","DJF","Marara",680.34
"1997","DJF","Marara",965.33
"1998","DJF","Marara",528.88
"1999","DJF","Marara",757.95
"2000","DJF","Marara",533.23
"2001","DJF","Marara",694.51
"2002","DJF","Marara",396.71
"2003","DJF","Marara",473.35
"2004","DJF","Marara",476.47
"2005","DJF","Marara",487.3
"2006","DJF","Marara",572.19
"2007","DJF","Marara",539.89
"2008","DJF","Marara",514.87
"2009","DJF","Marara",451.44
"2010","DJF","Marara",712.81
"2011","DJF","Marara",496.61
"2012","DJF","Marara",515.06
"2013","DJF","Marara",477.52
"2014","DJF","Marara",550.76
"2015","DJF","Marara",697.52
"2016","DJF","Marara",274.75
"2017","DJF","Marara",735.01
"2018","DJF","Marara",454.6
"2019","DJF","Marara",618.36
"2020","DJF","Marara",454.87
"2021","DJF","Marara",622.56
"1981","JFM","Macossa",450.26
"1982","JFM","Macossa",503.28
"1983","JFM","Macossa",307.02
"1984","JFM","Macossa",437.04
"1985","JFM","Macossa",660.06
"1986","JFM","Macossa",564.18
"1987","JFM","Macossa",316.88
"1988","JFM","Macossa",642.8
"1989","JFM","Macossa",583.16
"1990","JFM","Macossa",503.05
"1991","JFM","Macossa",359.23
"1992","JFM","Macossa",196.96
"1993","JFM","Macossa",475.84
"1994","JFM","Macossa",394.44
"1995","JFM","Macossa",277.19
"1996","JFM","Macossa",569.52
"1997","JFM","Macossa",958.67
"1998","JFM","Macossa",546.9
"1999","JFM","Macossa",707.58
"2000","JFM","Macossa",689.62
"2001","JFM","Macossa",894.65
"2002","JFM","Macossa",269.45
"2003","JFM","Macossa",465.04
"2004","JFM","Macossa",584.66
"2005","JFM","Macossa",288.68
"2006","JFM","Macossa",489.51
"2007","JFM","Macossa",531.49
"2008","JFM","Macossa",470.65
"2009","JFM","Macossa",491.42
"2010","JFM","Macossa",350.37
"2011","JFM","Macossa",555.5
"2012","JFM","Macossa",402.81
"2013","JFM","Macossa",448.35
"2014","JFM","Macossa",503
"2015","JFM","Macossa",324.76
"2016","JFM","Macossa",298.13
"2017","JFM","Macossa",660.27
"2018","JFM","Macossa",493.76
"2019","JFM","Macossa",724.08
"2020","JFM","Macossa",459.61
"2021","JFM","Macossa",596.5
"1981","FMA","Macossa",351.01
"1982","FMA","Macossa",318.19
"1983","FMA","Macossa",250.73
"1984","FMA","Macossa",360.25
"1985","FMA","Macossa",373.33
"1986","FMA","Macossa",263.65
"1987","FMA","Macossa",124.32
"1988","FMA","Macossa",475.52
"1989","FMA","Macossa",404.85
"1990","FMA","Macossa",260.1
"1991","FMA","Macossa",283.69
"1992","FMA","Macossa",123.61
"1993","FMA","Macossa",271.83
"1994","FMA","Macossa",178.69
"1995","FMA","Macossa",109.63
"1996","FMA","Macossa",273.14
"1997","FMA","Macossa",576.18
"1998","FMA","Macossa",231.41
"1999","FMA","Macossa",372.85
"2000","FMA","Macossa",458.69
"2001","FMA","Macossa",672.34
"2002","FMA","Macossa",191.24
"2003","FMA","Macossa",328.07
"2004","FMA","Macossa",397.39
"2005","FMA","Macossa",119.73
"2006","FMA","Macossa",295.14
"2007","FMA","Macossa",255.33
"2008","FMA","Macossa",148.2
"2009","FMA","Macossa",255.18
"2010","FMA","Macossa",288.95
"2011","FMA","Macossa",147.3
"2012","FMA","Macossa",249.83
"2013","FMA","Macossa",200.32
"2014","FMA","Macossa",272.03
"2015","FMA","Macossa",222.93
"2016","FMA","Macossa",224.62
"2017","FMA","Macossa",333.81
"2018","FMA","Macossa",482.96
"2019","FMA","Macossa",288.35
"2020","FMA","Macossa",277.34
"2021","FMA","Macossa",245.75
"1981","OND","Macossa",272.14
"1982","OND","Macossa",229.86
"1983","OND","Macossa",174.37
"1984","OND","Macossa",314.7
"1985","OND","Macossa",415.18
"1986","OND","Macossa",266.04
"1987","OND","Macossa",292.77
"1988","OND","Macossa",278.79
"1989","OND","Macossa",430.43
"1990","OND","Macossa",198.63
"1991","OND","Macossa",171.16
"1992","OND","Macossa",248.69
"1993","OND","Macossa",272.31
"1994","OND","Macossa",322.68
"1995","OND","Macossa",305.46
"1996","OND","Macossa",198.96
"1997","OND","Macossa",312.67
"1998","OND","Macossa",403.42
"1999","OND","Macossa",201.35
"2000","OND","Macossa",264.52
"2001","OND","Macossa",431.63
"2002","OND","Macossa",200.43
"2003","OND","Macossa",193
"2004","OND","Macossa",355.49
"2005","OND","Macossa",395.82
"2006","OND","Macossa",199.14
"2007","OND","Macossa",538.42
"2008","OND","Macossa",372.7
"2009","OND","Macossa",291.34
"2010","OND","Macossa",254.2
"2011","OND","Macossa",259.24
"2012","OND","Macossa",242.7
"2013","OND","Macossa",244.68
"2014","OND","Macossa",333.97
"2015","OND","Macossa",155.26
"2016","OND","Macossa",332.47
"2017","OND","Macossa",240.41
"2018","OND","Macossa",243.23
"2019","OND","Macossa",184.55
"2020","OND","Macossa",338.5
"1982","NDJ","Macossa",448.19
"1983","NDJ","Macossa",262.95
"1984","NDJ","Macossa",247.61
"1985","NDJ","Macossa",609.05
"1986","NDJ","Macossa",707.26
"1987","NDJ","Macossa",431.07
"1988","NDJ","Macossa",475.83
"1989","NDJ","Macossa",412.78
"1990","NDJ","Macossa",670.36
"1991","NDJ","Macossa",278.15
"1992","NDJ","Macossa",250.34
"1993","NDJ","Macossa",468.32
"1994","NDJ","Macossa",494.1
"1995","NDJ","Macossa",456.53
"1996","NDJ","Macossa",599.62
"1997","NDJ","Macossa",637.44
"1998","NDJ","Macossa",600.45
"1999","NDJ","Macossa",731.95
"2000","NDJ","Macossa",440.77
"2001","NDJ","Macossa",481.87
"2002","NDJ","Macossa",537.59
"2003","NDJ","Macossa",312.57
"2004","NDJ","Macossa",385.44
"2005","NDJ","Macossa",506.16
"2006","NDJ","Macossa",594.84
"2007","NDJ","Macossa",467.98
"2008","NDJ","Macossa",855.13
"2009","NDJ","Macossa",614.43
"2010","NDJ","Macossa",372.42
"2011","NDJ","Macossa",684.43
"2012","NDJ","Macossa",415.66
"2013","NDJ","Macossa",486.9
"2014","NDJ","Macossa",486.15
"2015","NDJ","Macossa",437.95
"2016","NDJ","Macossa",262.47
"2017","NDJ","Macossa",661.13
"2018","NDJ","Macossa",272.22
"2019","NDJ","Macossa",690.27
"2020","NDJ","Macossa",389.4
"2021","NDJ","Macossa",674.05
"1982","DJF","Macossa",594.16
"1983","DJF","Macossa",338.11
"1984","DJF","Macossa",380.42
"1985","DJF","Macossa",705.38
"1986","DJF","Macossa",771.18
"1987","DJF","Macossa",420.9
"1988","DJF","Macossa",635.24
"1989","DJF","Macossa",634.16
"1990","DJF","Macossa",724.48
"1991","DJF","Macossa",368.88
"1992","DJF","Macossa",159.82
"1993","DJF","Macossa",578.06
"1994","DJF","Macossa",474.77
"1995","DJF","Macossa",476.22
"1996","DJF","Macossa",746.69
"1997","DJF","Macossa",954.74
"1998","DJF","Macossa",604.63
"1999","DJF","Macossa",869.95
"2000","DJF","Macossa",620.9
"2001","DJF","Macossa",730.93
"2002","DJF","Macossa",473.37
"2003","DJF","Macossa",361.62
"2004","DJF","Macossa",493.57
"2005","DJF","Macossa",473.47
"2006","DJF","Macossa",628.96
"2007","DJF","Macossa",579.44
"2008","DJF","Macossa",767.77
"2009","DJF","Macossa",678.2
"2010","DJF","Macossa",485.11
"2011","DJF","Macossa",648.63
"2012","DJF","Macossa",451.23
"2013","DJF","Macossa",571.4
"2014","DJF","Macossa",609.4
"2015","DJF","Macossa",559.63
"2016","DJF","Macossa",289.11
"2017","DJF","Macossa",739.84
"2018","DJF","Macossa",558.86
"2019","DJF","Macossa",694.38
"2020","DJF","Macossa",526.08
"2021","DJF","Macossa",790.9
"1981","JFM","Tambara",354.9
"1982","JFM","Tambara",486.01
"1983","JFM","Tambara",268.1
"1984","JFM","Tambara",407.9
"1985","JFM","Tambara",500.18
"1986","JFM","Tambara",560.87
"1987","JFM","Tambara",276.13
"1988","JFM","Tambara",547.95
"1989","JFM","Tambara",623.53
"1990","JFM","Tambara",372.98
"1991","JFM","Tambara",415.6
"1992","JFM","Tambara",169.19
"1993","JFM","Tambara",532.57
"1994","JFM","Tambara",293.47
"1995","JFM","Tambara",339.22
"1996","JFM","Tambara",467.66
"1997","JFM","Tambara",851.79
"1998","JFM","Tambara",470.21
"1999","JFM","Tambara",777.11
"2000","JFM","Tambara",607.6
"2001","JFM","Tambara",814.2
"2002","JFM","Tambara",336.27
"2003","JFM","Tambara",491.18
"2004","JFM","Tambara",445.35
"2005","JFM","Tambara",231.64
"2006","JFM","Tambara",490.07
"2007","JFM","Tambara",545.1
"2008","JFM","Tambara",352
"2009","JFM","Tambara",420.25
"2010","JFM","Tambara",393.04
"2011","JFM","Tambara",433.53
"2012","JFM","Tambara",450.79
"2013","JFM","Tambara",406.06
"2014","JFM","Tambara",449.99
"2015","JFM","Tambara",361.47
"2016","JFM","Tambara",249.18
"2017","JFM","Tambara",686.75
"2018","JFM","Tambara",481.92
"2019","JFM","Tambara",655.29
"2020","JFM","Tambara",501.84
"2021","JFM","Tambara",442.52
"1981","FMA","Tambara",251.74
"1982","FMA","Tambara",304.78
"1983","FMA","Tambara",210.53
"1984","FMA","Tambara",348.21
"1985","FMA","Tambara",305.88
"1986","FMA","Tambara",325.5
"1987","FMA","Tambara",81.66
"1988","FMA","Tambara",390.97
"1989","FMA","Tambara",446.31
"1990","FMA","Tambara",149.96
"1991","FMA","Tambara",304.55
"1992","FMA","Tambara",101.17
"1993","FMA","Tambara",283.31
"1994","FMA","Tambara",118.49
"1995","FMA","Tambara",100.83
"1996","FMA","Tambara",283.54
"1997","FMA","Tambara",572.66
"1998","FMA","Tambara",171.15
"1999","FMA","Tambara",371.84
"2000","FMA","Tambara",384
"2001","FMA","Tambara",609.51
"2002","FMA","Tambara",206.43
"2003","FMA","Tambara",272.05
"2004","FMA","Tambara",289.48
"2005","FMA","Tambara",64.11
"2006","FMA","Tambara",296.36
"2007","FMA","Tambara",251.92
"2008","FMA","Tambara",92.89
"2009","FMA","Tambara",199.55
"2010","FMA","Tambara",314.83
"2011","FMA","Tambara",136.88
"2012","FMA","Tambara",219.26
"2013","FMA","Tambara",181.2
"2014","FMA","Tambara",213.07
"2015","FMA","Tambara",184.6
"2016","FMA","Tambara",163.04
"2017","FMA","Tambara",386.24
"2018","FMA","Tambara",474.33
"2019","FMA","Tambara",327.3
"2020","FMA","Tambara",253.88
"2021","FMA","Tambara",186.49
"1981","OND","Tambara",188.28
"1982","OND","Tambara",208.84
"1983","OND","Tambara",220.58
"1984","OND","Tambara",291.76
"1985","OND","Tambara",380.98
"1986","OND","Tambara",214.58
"1987","OND","Tambara",213.39
"1988","OND","Tambara",179.74
"1989","OND","Tambara",270.32
"1990","OND","Tambara",125.11
"1991","OND","Tambara",119.8
"1992","OND","Tambara",228.76
"1993","OND","Tambara",175.96
"1994","OND","Tambara",202.53
"1995","OND","Tambara",321.15
"1996","OND","Tambara",237.63
"1997","OND","Tambara",303.26
"1998","OND","Tambara",386.99
"1999","OND","Tambara",152.81
"2000","OND","Tambara",247.37
"2001","OND","Tambara",392.59
"2002","OND","Tambara",151.85
"2003","OND","Tambara",127.46
"2004","OND","Tambara",368.4
"2005","OND","Tambara",364.3
"2006","OND","Tambara",256.68
"2007","OND","Tambara",343.22
"2008","OND","Tambara",153.39
"2009","OND","Tambara",243.32
"2010","OND","Tambara",256.73
"2011","OND","Tambara",215.17
"2012","OND","Tambara",237.25
"2013","OND","Tambara",209.4
"2014","OND","Tambara",301.93
"2015","OND","Tambara",168.14
"2016","OND","Tambara",340.76
"2017","OND","Tambara",242.02
"2018","OND","Tambara",245.63
"2019","OND","Tambara",162.93
"2020","OND","Tambara",237.91
"1982","NDJ","Tambara",371.67
"1983","NDJ","Tambara",221.16
"1984","NDJ","Tambara",277.43
"1985","NDJ","Tambara",512.08
"1986","NDJ","Tambara",606.46
